n,k_low,k_high,seed_low,seed_high,clone_count,horizon,selection_time,dt
10,0.25,0.75,951011,951012,512,20,2,0.0005
10,0.35,0.65,951021,951022,512,20,2,0.0005
10,0.45,0.55,951031,951032,512,20,2,0.0005
20,0.25,0.75,952011,952012,512,20,2,0.0005
20,0.35,0.65,952021,952022,512,20,2,0.0005
20,0.45,0.55,952031,952032,512,20,2,0.0005
30,0.25,0.75,953011,953012,512,20,2,0.0005
30,0.35,0.65,953021,953022,512,20,2,0.0005
30,0.45,0.55,953031,953032,512,20,2,0.0005
40,0.25,0.75,954011,954012,512,20,2,0.0005
40,0.35,0.65,954021,954022,512,20,2,0.0005
40,0.45,0.55,954031,954032,512,20,2,0.0005
