relative_path	bytes	sha256
RAW_DATA_INDEX.md	2593	85c1a3f24e2a2f1d4afda02ae1ede9d959161bd476b5b09c6fc7c08fd5d74aef
README.md	2572	1f0b00f9fd1a16c6caa63bbb262b6ac930ba848de11aa379d7db217368249270
REPRODUCE.md	3372	ba2269de3644494c6cf35bd08ebfdf4fc27e73cd178eb4a4edff488bdb306ccf
code/direct_sampling/NLS_entropy_ft.cpp	36215	98e7f8f5f915c8ce02bd8aa10722025c09fd739184b981961692869c9356c0d3
code/direct_sampling/analyze_action_tail_time_scaling.py	6327	6cdcdafe6207c1d6b9aa647770388767ecb057c8f466d70881eeca4bfa80d733
code/direct_sampling/analyze_entropy_ft.py	37639	4b6bf9dde6bf8e401b0bb30a76000f1342f960eca4dfa4829d9f81124337a9ab
code/direct_sampling/analyze_ft_adaptive_bins.py	12341	8b626edd082223468fff80c73fc2a432193a5c605bbe770497ad4cc8e6a1d4da
code/direct_sampling/audit_entropy_ft_analysis.py	29221	f775675e91173f7c3dfb7003063ef8d606a9b40f8a1244db0b213cf32643f760
code/direct_sampling/audit_entropy_ft_run.py	12096	f13800455b198d30173a55807611f1d354f9679a90072d6bf6421bce623a9da4
code/direct_sampling/build_entropy_ft_report.py	27372	0fb5889132dc288696e6215060fad1270947e447ed5047cbf275b9873442ef94
code/direct_sampling/finalize_entropy_ft_run.sh	4919	910eb15f5d3c5330461f04ca9329edd37bf0c903a938e01f64164917c4c6b4f0
code/direct_sampling/plot_entropy_ft_supplement.py	19250	296de0adb37fccf8f5b69ac1d3493824687e5ffed8f45ca9f2076c5fc47e52cc
code/direct_sampling/run_entropy_ft_production.sh	3000	de6d62e16496cdb70a810f70e46b3b759d99b3a1f19b3d4a948ea589f3010a00
code/discrete_path/NLS_discrete_path_ft.cpp	26900	758e536fd1928b8b545e822102b875217ca33cab84d817fa52e7610bd19ca249
code/discrete_path/analyze_discrete_path_ft.py	14007	57441beb3095949675a8fae0e47c866482ace9b7d666dfbb498d95f4764b8b9e
code/discrete_path/summarize_discrete_path_ft.py	5818	72d3b7f4193bbe1c78bbbe946da823e999e991870570e2a4b18a1fffde103383
code/long_chain_scgf/NLS_entropy_cloning.cpp	59248	bc3c27bf62a45aa879c4a8fd3e4d70fe7bdf1e3bcb0d06c0318826e61e615b6d
code/long_chain_scgf/analyze_entropy_cloning.py	10798	57da22947a81e06b391db5d0edb29d2b309ccca03308ed1ef85783cf10794f2f
code/long_chain_scgf/analyze_entropy_gauge_convergence.py	7323	c335327aaa83ace8b7343720f02f409dea7969faeb49f98d8af051db57bd6e9e
code/long_chain_scgf/analyze_long_chain_ft.py	22230	2b681e913521e26fc7ca78f80eccc64a683ca7707c36177363c1cabf094d6cee
code/long_chain_scgf/analyze_long_chain_ft_controls.py	7906	7f3f20442d15ef175f3a667f8bc7f330534447bc60ac0c7db4d051fd13b6c294
code/long_chain_scgf/audit_entropy_cloning.py	16637	317d0b4b582299414880290ab23caf7eaa61e5695cc7163e66db8c148e4a7512
code/long_chain_scgf/summarize_long_chain_ft.py	8970	97365b48968971272af87ca165e1d78990197510f942355bc3ef841844bca4ec
code/long_chain_scgf/summarize_long_chain_ft_controls.py	3764	bc9c7ba65bc7597626248bc1d6e9258597ba7161fd32e7a502d3b4d86992a041
code/n2_total_entropy/analyze_total_entropy_n2.py	21055	b903b1a81fd209bb84cae4623d58556bf911d20b526175138ab58d55ed90bbdd
code/n2_total_entropy/analyze_total_entropy_parametric_n2.py	13291	316c99efdb988e518e539cbd5254fd9a27a0104bea37e54580199f19fb7bf9d1
code/n2_total_entropy/audit_total_entropy_n2.py	8252	1ec41526f322d5925aac717cde9c3d3ec4a712a825c9b905bb915af9d595826c
code/n2_total_entropy/audit_total_entropy_parametric_n2.py	8441	7b7bad18d95ddbbcb702810bdc6c87f18634c4a390cc703a657f8afab7d31673
figures/action_tail_normal_fit_n10_t20.png	185420	7e7592a73417de02baf4701cc69673ad1353976260f99534394ed4f29587c65e
figures/action_tail_normal_fit_n20_t20.png	179316	3db6e6ee10cad910ba44170394e3a71176d18237e9d617da7ba1e5351ad27b7f
figures/action_tail_normal_fit_n30_t20.png	180002	aca540240ac7eb97a86d6b91a5909ddc97c5ca7b14271eb9fc5d4971b1adc745
figures/action_tail_normal_fit_n40_t20.png	181281	0defbd8539742c6ad81036277be68192fc07ae01cc3168f63fde55fe9089e344
figures/action_tail_time_scaling_n30.png	114494	2f8b0c19a58104c1eb3cd0e8a76a414417f40f15f82035cf40253ce2f67e3ba9
figures/direct_time_dependence_n30.png	264528	b527bc049fbccf285fbd73057537e85765662cde4dd33cdc2f393ff1d6ea8382
figures/discrete_path_ft.png	106737	621980a3fa8c9ca490617259fe6315e8fc2890d665d7f309688696a2f472f284
figures/entropy_pdf_symmetry_n10.png	136927	bfe25784f7861d0ee9a56318ee8d1e6b1c899b59d312634c7b41680dfd84aab9
figures/entropy_pdf_symmetry_n20.png	145519	00ce6213f7aed91ca62847df8486039a354be09cff7e95b9f11ead70e149a409
figures/entropy_pdf_symmetry_n30.png	137571	fa17221ff32fe0fc71cc7d84ab2e4c701b83db7af839a956648ce4d1c6d57a29
figures/entropy_pdf_symmetry_n40.png	130544	1f294594c99f9da87416227720cb9eab23bd974d7aaeaefa294f022f02962167
figures/kernel_heat_timestep_convergence.png	134436	342c36d17eb89cd596c172fe5c79a3393da2916a5f8f303ae930830e1506d8c8
figures/n2_total_entropy_ft.png	153822	535d01db1da604c86c255ed0a9a9b097bcdbd75a1c6ada7c4060220f58d4ba97
figures/n30_gc_convergence.png	69118	28ae9de8b44f7a3e5c167a41748dd691cdf7dfc39fee0856b48b712065eae2f1
mentor_round2_ft_report.pdf	1355659	3971067510b9651c73bb8519a4c0fe059c2ca2353b5a5abee920eaf6f75a7780
mentor_round2_ft_report.tex	21186	652aa0f9eea2439edd82263858f810197c041926a31432d9085c1c1795c5a02a
protocols/DIRECT_SAMPLING_README.md	11714	f9c38d15b3bf8ef4ec7cdd71b0b64696f5d7bb669aa5c57ec1bab36e5d38643d
protocols/direct_sampling_production_manifest.txt	517	a9402f629abe909d1775e9538adf08657a5d68942d124926551d559b2a07a1fa
results/direct_sampling/MENTOR_SUMMARY.md	6158	2a130814f2eb05b39305242678c5bef08e2fc2e2a07ed74236fc5e4e909080ad
results/direct_sampling/PAPER_SECTION_CANDIDATE.tex	5208	75da1f21e02c958c0202f82146bf7073dd0ace4fb40eb9769dcd808e05d6edab
results/direct_sampling/README.md	1886	7aabc83ce808f55ab830994aeb00d31401e71d9cbcbb1ce2e4df471de553288c
results/direct_sampling/SHA256SUMS.txt	5008	38b857036dd53a1ac5cda37e1158214f1d673167880e9048eb179e4de792c021
results/direct_sampling/action_normal_tail_fit_metrics.csv	10737	f90c697776f9737f0c60f1e2561971ae37ef04a91042f770f3ef613bd5d6a189
results/direct_sampling/action_symmetry_summary.csv	11821	73bb62b60cbccbe89f68dc66700bdb971d72fc36c561163322adf65c46382bee
results/direct_sampling/action_tail_time_scaling.csv	11880	ff148816e9cb985aedc2c667f9ae22de2285f99249852f3840579e6922c6460f
results/direct_sampling/adaptive_symmetry_summary.csv	29949	6b6c211fcb2165efbefb49455e77984719be1dd330dd2cd18f4c71f7521ccc5e
results/direct_sampling/analysis_audit.md	361	77774ba3991328eb9fa0af92fc2d5f526003bc3ede16ecf8f2fed5db8fa273f5
results/direct_sampling/coupling_summary.csv	10748	2f103e3bc43d8d28c0d7a94f6e0b129ba72f79c0450372d1d73d56b1f66646c4
results/direct_sampling/entropy_ft_report.pdf	733833	5a911e47baaa2331e139e40cdf793f84df2ee54cf09dcf02e63c3d3ca56efb4c
results/direct_sampling/figures/action_tail_normal_fit_n10_t20.png	185420	7e7592a73417de02baf4701cc69673ad1353976260f99534394ed4f29587c65e
results/direct_sampling/figures/action_tail_normal_fit_n20_t20.png	179316	3db6e6ee10cad910ba44170394e3a71176d18237e9d617da7ba1e5351ad27b7f
results/direct_sampling/figures/action_tail_normal_fit_n30_t20.png	180002	aca540240ac7eb97a86d6b91a5909ddc97c5ca7b14271eb9fc5d4971b1adc745
results/direct_sampling/figures/action_tail_normal_fit_n40_t20.png	181281	0defbd8539742c6ad81036277be68192fc07ae01cc3168f63fde55fe9089e344
results/direct_sampling/figures/action_tail_time_scaling_n10.png	110223	678e08e7c92c6d0981bce07618226dad32d16a5e41db7baa0df61e1582f68428
results/direct_sampling/figures/action_tail_time_scaling_n20.png	105545	65d383cace456bfd2d497c39dfc470dea800c04c77d5dce7c4fa856bc7b4daee
results/direct_sampling/figures/action_tail_time_scaling_n30.png	114494	2f8b0c19a58104c1eb3cd0e8a76a414417f40f15f82035cf40253ce2f67e3ba9
