j,controlled_mean_I,controlled_se_mean_I,simd_mean_I,simd_se_mean_I,difference
1,0.24559145755284834,0.0003848981319042158,0.2428642166441334,0.0005136598009099629,0.0027272409087149285
2,0.2462341585807239,0.0007431116696521839,0.23395519250571217,0.000793743488535227,0.012278966075011721
3,0.24587149555843485,0.000768108101066974,0.23645130854423346,0.0008127103614754858,0.009420187014201387
4,0.245893277077282,0.0007476726210853985,0.2370090505047991,0.0008857787570042884,0.008884226572482917
5,0.24571374581975075,0.0007396622322767954,0.23685330083650796,0.0008854594014401446,0.008860444983242788
6,0.24574100368999507,0.000735928107832226,0.23707923907580875,0.0009410767791642091,0.00866176461418633
7,0.2450427771259594,0.0007640517664081047,0.2388662726668716,0.0009832726028210718,0.006176504459087795
8,0.2454327305854842,0.0007788443219379739,0.24010682639729708,0.0010180242775565307,0.005325904188187125
9,0.24560168781100922,0.0007776499620770148,0.24093977280346357,0.0010977252301593277,0.004661915007545647
10,0.24520473439186702,0.0007970610750967091,0.24202597336331555,0.0011439774311694552,0.003178761028551469
11,0.24526584137657395,0.0007991721963556774,0.24342112455232495,0.0012232922826471192,0.0018447168242489986
12,0.24479224954605933,0.0008179693936534833,0.2436605178021529,0.0012501345514219228,0.0011317317439064334
13,0.2452221159533169,0.0008202762318133082,0.24338238817445268,0.001205686761475034,0.0018397277788642086
14,0.24534560851806705,0.0008028051063668829,0.2439065860811186,0.0012534476817818907,0.0014390224369484617
15,0.24473920649564468,0.0007836577873990544,0.24499662915888587,0.0012975692216837095,-0.00025742266324119134
16,0.2448409828607929,0.0007914790217891224,0.2455613726957574,0.0013576927334039352,-0.0007203898349645022
17,0.24484188083030792,0.0008358043469309124,0.24566206274920938,0.0013635492025882642,-0.0008201819189014581
18,0.24447454972947164,0.0008290745618310352,0.24572630859795425,0.0013733310471197534,-0.0012517588684826109
19,0.24466732163281804,0.0008271603118630605,0.2467439540316004,0.0014336775983239917,-0.002076632398782363
20,0.2447645006774537,0.0008350112024258466,0.248172005977919,0.0013795676637962566,-0.0034075053004652966
21,0.24424357875418296,0.0008298435704981151,0.24770204623866893,0.0013869456858794608,-0.003458467484485972
22,0.24521362322482387,0.0008576842829138588,0.24838740818573948,0.001389509304462327,-0.00317378496091561
23,0.2444515926650008,0.0008128713090384356,0.2498593966250645,0.001456524441996782,-0.005407803960063712
24,0.2448785959789652,0.000797714254529075,0.25105222217806566,0.001506132635120026,-0.006173626199100474
25,0.24380645102870122,0.0008142152061338737,0.25189338051198756,0.0015524580320867328,-0.008086929483286348
26,0.24429983275460138,0.0008060502115826818,0.252052939312226,0.0016100535227071926,-0.007753106557624623
27,0.24422441449757346,0.0008196254312238368,0.25215360204607506,0.0015493042032062373,-0.00792918754850161
28,0.24455412189318376,0.0008300935826407386,0.2516019430174277,0.001609740955067113,-0.007047821124243958
29,0.24444336461145158,0.0008273848940350268,0.2534762334228743,0.0016287947086741819,-0.009032868811422706
30,0.2449360975430515,0.0008104980335790321,0.2543198226245498,0.001659325898014869,-0.009383725081498262
31,0.24451539423362778,0.0008212308277833532,0.2552063630108101,0.0016875709659195828,-0.010690968777182341
32,0.2442345754350509,0.0008520170990234255,0.25427866988609027,0.0016712843120203712,-0.010044094451039376
33,0.24461300984808912,0.0008446099264585286,0.25362640557839516,0.0016609519552161186,-0.009013395730306045
34,0.24459134608559452,0.0008840929204869389,0.25351802546471114,0.0016859413509093812,-0.00892667937911662
35,0.24462790344587332,0.0008654434836052128,0.253639922879486,0.00169135999132031,-0.009012019433612684
36,0.2459624715160486,0.0008559241093579833,0.25415869770303645,0.001634735139661618,-0.008196226186987843
37,0.2452652769148667,0.0008670894745696907,0.2542695720152016,0.0015816049466697245,-0.00900429510033493
38,0.24534352063571777,0.0008604368233153441,0.2550021750253143,0.0016140753889673633,-0.009658654389596538
39,0.24542026166588,0.0008675032730082644,0.25599112361502635,0.0016518662059092524,-0.01057086194914636
40,0.24454213958911292,0.0008438924556221242,0.25634429205879267,0.0017242314095303243,-0.01180215246967975
41,0.24584038650466045,0.0008593569708316258,0.25625775211237,0.0017458146735333181,-0.010417365607709561
42,0.2460856505441973,0.0008663149302984382,0.2571074455260987,0.0017638350684818273,-0.011021794981901423
43,0.24584200791493915,0.000879005207343643,0.25780784018653813,0.001764677649502099,-0.011965832271598975
44,0.24618600878333605,0.0008573947230790037,0.25785158303562916,0.001699242934856174,-0.011665574252293115
45,0.24677475671909355,0.0008503430125056277,0.25711197163651534,0.0016935751800911563,-0.010337214917421789
46,0.24627122336985993,0.0008500424979771125,0.25714036728601586,0.0017615113169205015,-0.010869143916155927
47,0.2466644833775701,0.0008373978090412535,0.25737221498257223,0.0017797772381775104,-0.01070773160500213
48,0.2468564036150182,0.0008213907525624133,0.25667096765241315,0.001732450116581951,-0.009814564037394946
49,0.2468308100580848,0.0008046515333236621,0.25638260969855287,0.0017706562842536022,-0.009551799640468067
50,0.2469615265165609,0.0008163011656722272,0.2569624969982801,0.0018134320728286273,-0.010000970481719218
51,0.24717092935996066,0.000818389182209016,0.25628724299458583,0.0018637035203725575,-0.009116313634625173
52,0.24668385807304308,0.0008133608836618887,0.25626525214516976,0.0018710381223213262,-0.009581394072126687
53,0.24657082417582035,0.0008288583287055105,0.25623805812173306,0.0018520676219466337,-0.009667233945912707
54,0.24622342230440886,0.0008388152911363699,0.2570829787274353,0.001800989859224458,-0.01085955642302644
55,0.24650874949491225,0.0008525407832404621,0.2577272263525685,0.00180411376223483,-0.011218476857656257
56,0.24627107124551623,0.000852302642477918,0.25793999167726034,0.0018579472962620862,-0.011668920431744112
57,0.24641240639583956,0.0008457261406796225,0.2574917151605334,0.0017903045900796,-0.011079308764693818
58,0.24671987480870708,0.0008479681915826633,0.2579781970521492,0.0018178091266613124,-0.011258322243442115
59,0.24643369607024512,0.0008403994186958519,0.2571677735808882,0.0017947912114626321,-0.010734077510643092
60,0.2470585770507638,0.0008125327450784624,0.2563513913190779,0.001701427041003307,-0.009292814268314104
61,0.24707634955336888,0.0008125294291627059,0.2558820783761222,0.0017010315635828728,-0.008805728822753323
62,0.24732481839398007,0.0008034556881177518,0.25530335825018835,0.0017452991318108785,-0.007978539856208278
63,0.24745797844696393,0.0008094956598518569,0.25434714220984367,0.0016826990732727778,-0.006889163762879735
64,0.2477776702070462,0.000791126698408306,0.25366485522648885,0.0016836192169231439,-0.005887185019442659
65,0.24758208175812116,0.0008186806287717998,0.2540187795782036,0.0017416899277975808,-0.006436697820082465
66,0.24787929442351656,0.0008148230081054784,0.25433995546461347,0.001665993982699465,-0.00646066104109691
67,0.24805090793862125,0.0008046352261000739,0.25404878143288157,0.001615044389169551,-0.005997873494260314
68,0.2477127568395781,0.0008464964507395659,0.25411660451873586,0.0015777090512460357,-0.006403847679157748
69,0.24759132989661536,0.0008182574070029525,0.2540054822068857,0.0015639927619769253,-0.006414152310270316
70,0.24736197038524316,0.0008315753045053407,0.25267730788119636,0.0015765771715594882,-0.0053153374959531985
71,0.24724395921009654,0.0007933974246804239,0.2524458227057872,0.0015002706558368195,-0.005201863495690656
72,0.24802866213332267,0.0008049766010027331,0.25231540569750044,0.0014895587426545498,-0.00428674356417777
73,0.24788999793844713,0.0007643929839924764,0.2511450661762624,0.001468348045640579,-0.003255068237815295
74,0.24745077514817196,0.0007803181269550512,0.2507661663752594,0.0014624538125563107,-0.003315391227087433
75,0.24770579667253445,0.0007926687695328781,0.2513440181488253,0.001453293371096383,-0.003638221476290837
76,0.24779860984731042,0.0008092465453052977,0.25074298381925736,0.0014329308599754533,-0.0029443739719469397
77,0.2473255982037357,0.0007751628809394632,0.24966547158907093,0.0014187266198052034,-0.0023398733853352283
78,0.24657880309910696,0.0007708760674864166,0.2488467592683673,0.0014190238008222175,-0.0022679561692603434
79,0.2466909964643091,0.0007750430665317099,0.24805776798313384,0.0014322891455191347,-0.0013667715188247498
80,0.24784042154621688,0.0007814658729479256,0.2479577272496465,0.0014066143140406585,-0.00011730570342960434
81,0.24696089588044579,0.000786990428342529,0.24756232564707362,0.0014461737472507927,-0.0006014297666278312
82,0.24691240614270943,0.0007984012103115572,0.2468890878413019,0.001396430253076874,2.3318301407532216e-05
83,0.24660904172561582,0.0007647350924909757,0.2465111334500143,0.0012878111302713723,9.790827560152149e-05
84,0.24708131873553446,0.0007688388577855846,0.24574074540828766,0.0012599487627275292,0.0013405733272467968
85,0.24701427863043804,0.0007854254539487215,0.24483774789147988,0.0012634265476472437,0.0021765307389581545
86,0.24581090782175657,0.0007773103493415077,0.24522317910652316,0.0012522342559021084,0.0005877287152334099
87,0.24638936557736554,0.0007803699040918852,0.24402723457139475,0.0012621024889623304,0.0023621310059707967
88,0.24600031514521695,0.0007649414473361782,0.2433806899035994,0.001248573796363851,0.002619625241617546
89,0.2459143493123822,0.000786431954295518,0.2431934131557587,0.0012464924763543723,0.002720936156623499
90,0.24592450064416085,0.0007927298719724058,0.2424444462748902,0.0012459672950296558,0.003480054369270652
91,0.2454859217239484,0.000784579477201351,0.24127880164640558,0.0011353229940512161,0.004207120077542814
92,0.24568183533240542,0.0007796788540724674,0.2399374455285567,0.0010171526379600113,0.005744389803848726
93,0.2450009086717687,0.0007779709314423341,0.2401170418598012,0.001029361173417266,0.004883866811967508
94,0.24574319347697665,0.0007582504413878864,0.2394951413875291,0.0010183039849094842,0.006248052089447564
95,0.2453517515280924,0.0007768314122103171,0.23885194010587477,0.0009473078526819008,0.006499811422217644
96,0.2452724424398433,0.0007454907489228161,0.2383574737675518,0.0008943508060173297,0.006914968672291522
97,0.24544725992432626,0.0007635600995505229,0.23803163209748046,0.0009019767854361586,0.007415627826845794
98,0.24523289985828756,0.0007674871563584331,0.23634286716116587,0.0008567871297652129,0.008890032697121686
99,0.24499942907517644,0.0007703569997434819,0.2337257140047495,0.0008061535360619693,0.011273715070426932
100,0.24540610465621937,0.00038536697434615557,0.2431969782199052,0.0005109406328777964,0.002209126436314157
