case,N_streams,separation,task_seed
driven_dt2p5e-4,64,0.05,94985581
driven_dt2p5e-4,64,0.1,633818110
driven_dt2p5e-4,64,0.15,1784639476
driven_dt2p5e-4,64,0.2,210667462
driven_dt2p5e-4,64,0.3,667037081
driven_dt2p5e-4,64,0.4,990176069
driven_dt2p5e-4,64,0.6,1552320631
driven_dt2p5e-4,128,0.05,1613313737
driven_dt2p5e-4,128,0.1,119998005
driven_dt2p5e-4,128,0.15,1292814797
driven_dt2p5e-4,128,0.2,800104813
driven_dt2p5e-4,128,0.3,487262442
driven_dt2p5e-4,128,0.4,1855799771
driven_dt2p5e-4,128,0.6,166929680
driven_dt2p5e-4,256,0.05,709574971
driven_dt2p5e-4,256,0.1,579808961
driven_dt2p5e-4,256,0.15,793022038
driven_dt2p5e-4,256,0.2,1512816560
driven_dt2p5e-4,256,0.3,809550861
driven_dt2p5e-4,256,0.4,11642641
driven_dt2p5e-4,256,0.6,258393885
driven_dt2p5e-4,512,0.05,1192031302
driven_dt2p5e-4,512,0.1,78407782
driven_dt2p5e-4,512,0.15,594014391
driven_dt2p5e-4,512,0.2,675071455
driven_dt2p5e-4,512,0.3,560075711
driven_dt2p5e-4,512,0.4,1663593241
driven_dt2p5e-4,512,0.6,403384088
driven_dt2p5e-4,1024,0.05,1094417686
driven_dt2p5e-4,1024,0.1,666086706
driven_dt2p5e-4,1024,0.15,653194466
driven_dt2p5e-4,1024,0.2,1348313516
driven_dt2p5e-4,1024,0.3,1465507895
driven_dt2p5e-4,1024,0.4,338648018
driven_dt2p5e-4,1024,0.6,864703681
driven_dt2p5e-4,2048,0.05,444898679
driven_dt2p5e-4,2048,0.1,1484983339
driven_dt2p5e-4,2048,0.15,1053615574
driven_dt2p5e-4,2048,0.2,378063469
driven_dt2p5e-4,2048,0.3,1412817956
driven_dt2p5e-4,2048,0.4,1391058311
driven_dt2p5e-4,2048,0.6,1163083064
equilibrium_dt2p5e-4,64,0.05,930094892
equilibrium_dt2p5e-4,64,0.1,619296533
equilibrium_dt2p5e-4,64,0.15,1176931213
equilibrium_dt2p5e-4,64,0.2,811180640
equilibrium_dt2p5e-4,64,0.3,1276502907
equilibrium_dt2p5e-4,64,0.4,644003111
equilibrium_dt2p5e-4,64,0.6,795422628
equilibrium_dt2p5e-4,128,0.05,2016048859
equilibrium_dt2p5e-4,128,0.1,233383372
equilibrium_dt2p5e-4,128,0.15,588296890
equilibrium_dt2p5e-4,128,0.2,1329933828
equilibrium_dt2p5e-4,128,0.3,878669856
equilibrium_dt2p5e-4,128,0.4,611411438
equilibrium_dt2p5e-4,128,0.6,1168590337
equilibrium_dt2p5e-4,256,0.05,604292943
equilibrium_dt2p5e-4,256,0.1,1717570123
equilibrium_dt2p5e-4,256,0.15,1864718660
equilibrium_dt2p5e-4,256,0.2,1376575815
equilibrium_dt2p5e-4,256,0.3,172225651
equilibrium_dt2p5e-4,256,0.4,255802486
equilibrium_dt2p5e-4,256,0.6,1861256259
equilibrium_dt2p5e-4,512,0.05,1358953141
equilibrium_dt2p5e-4,512,0.1,1378751712
equilibrium_dt2p5e-4,512,0.15,557885310
equilibrium_dt2p5e-4,512,0.2,450808008
equilibrium_dt2p5e-4,512,0.3,1113917255
equilibrium_dt2p5e-4,512,0.4,2067386302
equilibrium_dt2p5e-4,512,0.6,271964507
equilibrium_dt2p5e-4,1024,0.05,223023529
equilibrium_dt2p5e-4,1024,0.1,728870685
equilibrium_dt2p5e-4,1024,0.15,1856203451
equilibrium_dt2p5e-4,1024,0.2,8212298
equilibrium_dt2p5e-4,1024,0.3,1902279893
equilibrium_dt2p5e-4,1024,0.4,1555738120
equilibrium_dt2p5e-4,1024,0.6,816821723
equilibrium_dt2p5e-4,2048,0.05,1853059101
equilibrium_dt2p5e-4,2048,0.1,414275613
equilibrium_dt2p5e-4,2048,0.15,1980802608
equilibrium_dt2p5e-4,2048,0.2,747246581
equilibrium_dt2p5e-4,2048,0.3,1037300525
equilibrium_dt2p5e-4,2048,0.4,784462490
equilibrium_dt2p5e-4,2048,0.6,710976077
